gene_name	gene_id	transcript_id	chrom	strand	tss	tes	region_start	region_end	region_length	usable
TTLL10	ENSG00000162571.13	ENST00000379290.5	chr1	+	1173903	1197935	1132943	1197935	64993	yes
TNFRSF18	ENSG00000186891.13	ENST00000379268.6	chr1	-	1206691	1203511	1203511	1247651	44141	yes
TNFRSF4	ENSG00000186827.10	ENST00000379236.3	chr1	-	1214132	1211326	1211326	1255092	43767	yes
SDF4	ENSG00000078808.16	ENST00000263741.11	chr1	-	1232031	1216931	1216931	1272991	56061	yes
B3GALT6	ENSG00000176022.5	ENST00000647651.1	chr1	+	1232226	1235041	1191266	1235041	43776	yes
C1QTNF12	ENSG00000184163.3	ENST00000330388.2	chr1	-	1246722	1242453	1242453	1287682	45230	yes
AL162741.1	ENSG00000260179.1	ENST00000565563.1	chr1	-	1251334	1249777	1249777	1292294	42518	yes
UBE2J2	ENSG00000160087.20	ENST00000349431.10	chr1	-	1273885	1254470	1254470	1314845	60376	yes
LINC01786	ENSG00000230415.1	ENST00000453732.1	chr1	+	1275237	1279393	1234277	1279393	45117	yes
SCNN1D	ENSG00000162572.20	ENST00000379101.8	chr1	+	1280472	1291373	1239512	1291373	51862	yes
ACAP3	ENSG00000131584.18	ENST00000354700.9	chr1	-	1308018	1292376	1292376	1348978	56603	yes
PUSL1	ENSG00000169972.11	ENST00000379031.9	chr1	+	1308567	1311677	1267607	1311677	44071	yes
INTS11	ENSG00000127054.20	ENST00000435064.5	chr1	-	1324691	1311597	1311597	1365651	54055	yes
CPTP	ENSG00000224051.6	ENST00000464957.1	chr1	+	1324756	1327994	1283796	1327994	44199	yes
TAS1R3	ENSG00000169962.4	ENST00000339381.5	chr1	+	1331314	1335306	1290354	1335306	44953	yes
DVL1	ENSG00000107404.19	ENST00000378891.9	chr1	-	1349112	1335276	1335276	1390072	54797	yes
MXRA8	ENSG00000162576.16	ENST00000342753.8	chr1	-	1358794	1352689	1352689	1399754	47066	yes
AURKAIP1	ENSG00000175756.13	ENST00000338338.9	chr1	-	1375495	1373730	1373730	1416455	42726	yes
CCNL2	ENSG00000221978.11	ENST00000408918.8	chr1	-	1399317	1392288	1392288	1440277	47990	yes
MRPL20	ENSG00000242485.5	ENST00000344843.11	chr1	-	1407313	1401908	1401908	1448273	46366	yes
AL391244.3	ENSG00000272455.1	ENST00000607307.1	chr1	+	1409096	1410618	1368136	1410618	42483	yes
ANKRD65	ENSG00000235098.8	ENST00000427211.3	chr1	-	1421769	1418420	1418420	1462729	44310	yes
TMEM88B	ENSG00000205116.3	ENST00000378821.3	chr1	+	1426128	1427787	1385168	1427787	42620	yes
LINC01770	ENSG00000225285.1	ENST00000417917.1	chr1	-	1434520	1430664	1430664	1475480	44817	yes
VWA1	ENSG00000179403.11	ENST00000476993.1	chr1	+	1435671	1442882	1394711	1442882	48172	yes
ATAD3C	ENSG00000215915.9	ENST00000484537.2	chr1	+	1462483	1468663	1421523	1468663	47141	yes
ATAD3B	ENSG00000160072.19	ENST00000308647.7	chr1	+	1471769	1496202	1430809	1496202	65394	yes
ATAD3A	ENSG00000197785.13	ENST00000378756.7	chr1	+	1512151	1534685	1471191	1534685	63495	yes
TMEM240	ENSG00000205090.8	ENST00000425828.1	chr1	-	1540453	1535207	1535207	1581413	46207	yes
SSU72	ENSG00000160075.11	ENST00000291386.3	chr1	-	1574869	1541673	1541673	1615829	74157	yes
FNDC10	ENSG00000228594.3	ENST00000422725.3	chr1	-	1600096	1598012	1598012	1641056	43045	yes
MIB2	ENSG00000197530.12	ENST00000520777.5	chr1	+	1615415	1630605	1574455	1630605	56151	yes
MMP23B	ENSG00000189409.13	ENST00000356026.9	chr1	+	1632095	1634654	1591135	1634654	43520	yes
CDK11B	ENSG00000248333.8	ENST00000341832.10	chr1	-	1659012	1635227	1635227	1699972	64746	yes
SLC35E2B	ENSG00000189339.11	ENST00000614300.4	chr1	-	1692724	1659529	1659529	1733684	74156	yes
CDK11A	ENSG00000008128.22	ENST00000357760.6	chr1	-	1724324	1702881	1702881	1765284	62404	yes
SLC35E2A	ENSG00000215790.7	ENST00000355439.7	chr1	-	1745999	1724840	1724840	1786959	62120	yes
NADK	ENSG00000008130.15	ENST00000378625.5	chr1	-	1780069	1751232	1751232	1821029	69798	yes
GNB1	ENSG00000078369.17	ENST00000378609.8	chr1	-	1891056	1785286	1785286	1932016	146731	yes
CALML6	ENSG00000169885.9	ENST00000307786.7	chr1	+	1914827	1917294	1873867	1917294	43428	yes
TMEM52	ENSG00000178821.12	ENST00000310991.7	chr1	-	1919273	1917591	1917591	1960233	42643	yes
CFAP74	ENSG00000142609.18	ENST00000468610.5	chr1	-	2003714	1955148	1955148	2044674	89527	yes
GABRD	ENSG00000187730.8	ENST00000378585.6	chr1	+	2019298	2030758	1978338	2030758	52421	yes
PRKCZ	ENSG00000067606.16	ENST00000378567.7	chr1	+	2050470	2185395	2009510	2185395	175886	yes
FAAP20	ENSG00000162585.16	ENST00000401813.7	chr1	-	2199907	2189548	2189548	2240867	51320	yes
AL590822.1	ENSG00000234396.3	ENST00000442483.2	chr1	+	2212523	2220738	2171563	2220738	49176	yes
SKI	ENSG00000157933.9	ENST00000378536.4	chr1	+	2228695	2310119	2187735	2310119	122385	yes
MORN1	ENSG00000116151.13	ENST00000378529.7	chr1	-	2391707	2355175	2355175	2432667	77493	yes
RER1	ENSG00000157916.19	ENST00000605895.5	chr1	+	2391833	2405444	2350873	2405444	54572	yes
PEX10	ENSG00000157911.10	ENST00000447513.6	chr1	-	2412571	2404819	2404819	2453531	48713	yes
PLCH2	ENSG00000149527.17	ENST00000378486.7	chr1	+	2476315	2505525	2435355	2505525	70171	yes
PANK4	ENSG00000157881.13	ENST00000378466.7	chr1	-	2526628	2508533	2508533	2567588	59056	yes
AL139246.5	ENSG00000272449.2	ENST00000644246.1	chr1	+	2530064	2547460	2489104	2547460	58357	yes
HES5	ENSG00000197921.5	ENST00000378453.3	chr1	-	2530245	2528745	2528745	2571205	42461	yes
TNFRSF14	ENSG00000157873.17	ENST00000355716.4	chr1	+	2556366	2563829	2515406	2563829	48424	yes
AL139246.3	ENSG00000228037.1	ENST00000424215.1	chr1	+	2581560	2584533	2540600	2584533	43934	yes
PRXL2B	ENSG00000157870.15	ENST00000419916.7	chr1	+	2586775	2591468	2545815	2591468	45654	yes
MMEL1	ENSG00000142606.15	ENST00000502556.5	chr1	-	2629494	2590926	2590926	2670454	79529	yes
AC242022.2	ENSG00000285945.1	ENST00000648684.1	chr1	+	2768091	2784733	2727131	2784733	57603	yes
TTC34	ENSG00000215912.12	ENST00000401095.8	chr1	-	2801717	2635976	2635976	2842677	206702	yes
AL592464.2	ENSG00000233234.1	ENST00000457440.1	chr1	-	2812692	2811850	2811850	2853652	41803	yes
AL592464.1	ENSG00000231630.1	ENST00000429389.1	chr1	-	2814998	2814432	2814432	2855958	41527	yes
AL589702.1	ENSG00000284745.1	ENST00000642073.1	chr1	-	2968707	2961018	2961018	3009667	48650	yes
ACTRT2	ENSG00000169717.6	ENST00000378404.3	chr1	+	3021483	3022903	2980523	3022903	42381	yes
PRDM16	ENSG00000142611.16	ENST00000378391.6	chr1	+	3069197	3435421	3028237	3435421	407185	yes
AL590438.1	ENSG00000272235.1	ENST00000607061.1	chr1	-	3310096	3306636	3306636	3351056	44421	yes
ARHGEF16	ENSG00000130762.14	ENST00000378373.5	chr1	+	3466005	3481113	3425045	3481113	56069	yes
AL512413.1	ENSG00000272088.1	ENST00000606489.1	chr1	+	3487246	3487627	3446286	3487627	41342	yes
MEGF6	ENSG00000162591.15	ENST00000356575.8	chr1	-	3611495	3489926	3489926	3652455	162530	yes
TPRG1L	ENSG00000158109.14	ENST00000344579.5	chr1	+	3625050	3630127	3584090	3630127	46038	yes
WRAP73	ENSG00000116213.15	ENST00000270708.11	chr1	-	3650073	3630767	3630767	3691033	60267	yes
TP73	ENSG00000078900.14	ENST00000378295.8	chr1	+	3652520	3736201	3611560	3736201	124642	yes
CCDC27	ENSG00000162592.9	ENST00000294600.6	chr1	+	3752398	3771644	3711438	3771644	60207	yes
SMIM1	ENSG00000235169.8	ENST00000444870.7	chr1	+	3772787	3775982	3731827	3775982	44156	yes
LRRC47	ENSG00000130764.9	ENST00000378251.2	chr1	-	3796504	3778558	3778558	3837464	58907	yes
CEP104	ENSG00000116198.12	ENST00000378223.3	chr1	-	3857214	3843109	3843109	3898174	55066	yes
DFFB	ENSG00000169598.15	ENST00000378209.7	chr1	+	3857281	3885429	3816321	3885429	69109	yes
C1orf174	ENSG00000198912.10	ENST00000361605.3	chr1	-	3900285	3889125	3889125	3941245	52121	yes
LINC01134	ENSG00000236423.5	ENST00000439488.1	chr1	+	3900416	3915447	3859456	3915447	55992	yes
LINC01346	ENSG00000233304.6	ENST00000412674.1	chr1	+	3940617	3955262	3899657	3955262	55606	yes
LINC01345	ENSG00000226374.2	ENST00000425194.1	chr1	-	3948980	3947149	3947149	3989940	42792	yes
AL805961.1	ENSG00000284668.1	ENST00000642026.1	chr1	+	3976133	4012699	3935173	4012699	77527	yes
AL805961.2	ENSG00000284703.1	ENST00000642139.1	chr1	-	4019508	4012921	4012921	4060468	47548	yes
LINC01777	ENSG00000235054.3	ENST00000423197.2	chr1	+	4412051	4424687	4371091	4424687	53597	yes
AL355602.1	ENSG00000284694.1	ENST00000641472.1	chr1	-	4484375	4479131	4479131	4525335	46205	yes
Z98747.1	ENSG00000227169.2	ENST00000438791.2	chr1	-	4552145	4551735	4551735	4593105	41371	yes
LINC01646	ENSG00000232596.2	ENST00000420522.1	chr1	+	4571548	4583421	4530588	4583421	52834	yes
AJAP1	ENSG00000196581.10	ENST00000378191.4	chr1	+	4655045	4792534	4614085	4792534	178450	yes
BX005132.2	ENSG00000284739.1	ENST00000641254.1	chr1	-	4973298	4963954	4963954	5014258	50305	yes
BX005132.1	ENSG00000284674.1	ENST00000641403.1	chr1	+	4973381	4981568	4932421	4981568	49148	yes
AL691497.1	ENSG00000231510.1	ENST00000443270.1	chr1	-	5090899	5086459	5086459	5131859	45401	yes
AL139823.1	ENSG00000284616.1	ENST00000641871.1	chr1	-	5307394	5301928	5301928	5348354	46427	yes
Z98259.2	ENSG00000284666.1	ENST00000641583.1	chr1	-	5482028	5480787	5480787	5522988	42202	yes
Z98259.1	ENSG00000260972.1	ENST00000564261.1	chr1	+	5492978	5494674	5452018	5494674	42657	yes
Z98259.3	ENSG00000284692.2	ENST00000641860.1	chr1	-	5493057	5489795	5489795	5534017	44223	yes
AL365255.1	ENSG00000236948.2	ENST00000637702.1	chr1	-	5668255	5561709	5561709	5709215	147507	yes
KCNAB2	ENSG00000069424.14	ENST00000378097.5	chr1	+	5992363	6101193	5951403	6101193	149791	yes
NPHP4	ENSG00000131697.17	ENST00000378156.8	chr1	-	5992471	5862818	5862818	6033431	170614	yes
CHD5	ENSG00000116254.17	ENST00000262450.7	chr1	-	6180123	6101793	6101793	6221083	119291	yes
AL031847.2	ENSG00000285629.1	ENST00000484532.6	chr1	-	6197757	6159430	6159430	6238717	79288	yes
RPL22	ENSG00000116251.10	ENST00000234875.8	chr1	-	6199612	6185020	6185020	6240572	55553	yes
RNF207	ENSG00000158286.12	ENST00000484435.1	chr1	+	6206129	6207564	6165169	6207564	42396	yes
ICMT	ENSG00000116237.15	ENST00000489498.5	chr1	-	6235972	6223491	6223491	6276932	53442	yes
LINC00337	ENSG00000225077.3	ENST00000429480.2	chr1	+	6237771	6239444	6196811	6239444	42634	yes
HES3	ENSG00000173673.7	ENST00000377898.3	chr1	+	6244192	6245578	6203232	6245578	42347	yes
GPR153	ENSG00000158292.6	ENST00000377893.2	chr1	-	6260975	6247346	6247346	6301935	54590	yes
ACOT7	ENSG00000097021.19	ENST00000361521.8	chr1	-	6394391	6264273	6264273	6435351	171079	yes
HES2	ENSG00000069812.11	ENST00000377837.5	chr1	-	6424670	6412418	6412418	6465630	53213	yes
ESPN	ENSG00000187017.16	ENST00000377828.5	chr1	+	6424788	6460944	6383828	6460944	77117	yes
TNFRSF25	ENSG00000215788.10	ENST00000356876.7	chr1	-	6466195	6461151	6461151	6507155	46005	yes
PLEKHG5	ENSG00000171680.21	ENST00000377740.4	chr1	-	6520061	6467122	6467122	6561021	93900	yes
NOL9	ENSG00000162408.10	ENST00000377705.5	chr1	-	6554535	6521347	6521347	6595495	74149	yes
TAS1R1	ENSG00000173662.20	ENST00000333172.10	chr1	+	6555181	6579757	6514221	6579757	65537	yes
ZBTB48	ENSG00000204859.12	ENST00000377674.8	chr1	+	6580048	6589280	6539088	6589280	50193	yes
KLHL21	ENSG00000162413.16	ENST00000610898.1	chr1	-	6603684	6593205	6593205	6644644	51440	yes
PHF13	ENSG00000116273.5	ENST00000377648.4	chr1	+	6613685	6624033	6572725	6624033	51309	yes
THAP3	ENSG00000041988.15	ENST00000054650.8	chr1	+	6624866	6633565	6583906	6633565	49660	yes
DNAJC11	ENSG00000007923.15	ENST00000377577.9	chr1	-	6701924	6634168	6634168	6742884	108717	yes
LINC01672	ENSG00000228750.6	ENST00000432429.5	chr1	+	6724637	6727408	6683677	6727408	43732	yes
AL591163.1	ENSG00000284744.1	ENST00000641757.1	chr1	+	6767954	6770038	6726994	6770038	43045	yes
CAMTA1	ENSG00000171735.18	ENST00000303635.11	chr1	+	6785324	7769706	6744364	7769706	1025343	yes
AL359881.3	ENSG00000270171.1	ENST00000602640.1	chr1	-	7694844	7693124	7693124	7735804	42681	yes
AL359881.2	ENSG00000270035.1	ENST00000602973.1	chr1	-	7698872	7698303	7698303	7739832	41530	yes
AL359881.1	ENSG00000269978.1	ENST00000602916.1	chr1	-	7700970	7700704	7700704	7741930	41227	yes
VAMP3	ENSG00000049245.12	ENST00000054666.10	chr1	+	7771269	7781432	7730309	7781432	51124	yes
PER3	ENSG00000049246.14	ENST00000377541.5	chr1	+	7784320	7803958	7743360	7803958	60599	yes
UTS2	ENSG00000049247.13	ENST00000054668.5	chr1	-	7853431	7847766	7847766	7894391	46626	yes
TNFRSF9	ENSG00000049249.8	ENST00000377507.7	chr1	-	7940866	7919847	7919847	7981826	61980	yes
PARK7	ENSG00000116288.12	ENST00000338639.9	chr1	+	7961663	7985279	7920703	7985279	64577	yes
AL034417.3	ENSG00000284716.1	ENST00000641100.1	chr1	-	7999934	7998187	7998187	8040894	42708	yes
ERRFI1	ENSG00000116285.12	ENST00000377482.9	chr1	-	8026308	8011719	8011719	8067268	55550	yes
AL034417.2	ENSG00000238290.1	ENST00000445300.1	chr1	+	8026738	8122702	7985778	8122702	136925	yes
LINC01714	ENSG00000227634.2	ENST00000452982.1	chr1	+	8208672	8215210	8167712	8215210	47499	yes
AL358876.2	ENSG00000233645.1	ENST00000424689.1	chr1	-	8220529	8218190	8218190	8261489	43300	yes
SLC45A1	ENSG00000162426.14	ENST00000289877.8	chr1	+	8324330	8344167	8283370	8344167	60798	yes
AL357552.2	ENSG00000228423.2	ENST00000433876.2	chr1	-	8807051	8805860	8805860	8848011	42152	yes
RERE	ENSG00000142599.17	ENST00000400908.6	chr1	-	8817643	8354626	8354626	8858603	503978	yes
ENO1	ENSG00000074800.15	ENST00000489867.2	chr1	-	8879190	8868049	8868049	8920150	52102	yes
CA6	ENSG00000131686.14	ENST00000377443.6	chr1	+	8945883	8975092	8904923	8975092	70170	yes
SLC2A7	ENSG00000197241.3	ENST00000400906.1	chr1	-	9026345	9003300	9003300	9067305	64006	yes
SLC2A5	ENSG00000142583.17	ENST00000377424.8	chr1	-	9069716	9035107	9035107	9110676	75570	yes
GPR157	ENSG00000180758.11	ENST00000377411.4	chr1	-	9129170	9100305	9100305	9170130	69826	yes
LNCTAM34A	ENSG00000234546.3	ENST00000412639.2	chr1	+	9182204	9192089	9141244	9192089	50846	yes
MIR34AHG	ENSG00000228526.7	ENST00000635687.1	chr1	-	9182392	9148011	9148011	9223352	75342	yes
H6PD	ENSG00000049239.12	ENST00000377403.6	chr1	+	9234775	9271337	9193815	9271337	77523	yes
SPSB1	ENSG00000171621.13	ENST00000328089.10	chr1	+	9292880	9369532	9251920	9369532	117613	yes
BX323043.1	ENSG00000284652.1	ENST00000641006.1	chr1	-	9422862	9421098	9421098	9463822	42725	yes
AL928921.2	ENSG00000284693.1	ENST00000641940.1	chr1	-	9440564	9426649	9426649	9481524	54876	yes
AL928921.1	ENSG00000235263.1	ENST00000441033.1	chr1	-	9503471	9501092	9501092	9544431	43340	yes
SLC25A33	ENSG00000171612.6	ENST00000302692.6	chr1	+	9539482	9585179	9498522	9585179	86658	yes
TMEM201	ENSG00000188807.12	ENST00000340305.9	chr1	+	9588922	9604954	9547962	9604954	56993	yes
PIK3CD	ENSG00000171608.15	ENST00000377346.8	chr1	+	9651745	9728919	9610785	9728919	118135	yes
CLSTN1	ENSG00000171603.17	ENST00000377298.8	chr1	-	9824526	9729026	9729026	9865486	136461	yes
CTNNBIP1	ENSG00000178585.14	ENST00000400904.7	chr1	-	9910336	9850109	9850109	9951296	101188	yes
LZIC	ENSG00000162441.11	ENST00000377213.1	chr1	-	9943407	9930253	9930253	9984367	54115	yes
NMNAT1	ENSG00000173614.13	ENST00000377205.5	chr1	+	9943428	9985498	9902468	9985498	83031	yes
RBP7	ENSG00000162444.11	ENST00000294435.7	chr1	+	9997216	10016020	9956256	10016020	59765	yes
UBE4B	ENSG00000130939.18	ENST00000253251.12	chr1	+	10032832	10180367	9991872	10180367	188496	yes
KIF1B	ENSG00000054523.17	ENST00000263934.10	chr1	+	10210805	10377937	10169845	10377937	208093	yes
AL139424.3	ENSG00000284735.1	ENST00000641117.1	chr1	-	10387150	10384628	10384628	10428110	43483	yes
AL139424.2	ENSG00000284642.1	ENST00000641011.1	chr1	+	10395416	10396041	10354456	10396041	41586	yes
PGD	ENSG00000142657.20	ENST00000270776.12	chr1	+	10399080	10420144	10358120	10420144	62025	yes
CENPS-CORT	ENSG00000251503.8	ENST00000400900.6	chr1	+	10430102	10452153	10389142	10452153	63012	yes
CENPS	ENSG00000175279.21	ENST00000309048.7	chr1	+	10430443	10442809	10389483	10442809	53327	yes
CORT	ENSG00000241563.3	ENST00000377049.3	chr1	+	10449719	10451902	10408759	10451902	43144	yes
DFFA	ENSG00000160049.11	ENST00000377038.7	chr1	-	10472526	10456522	10456522	10513486	56965	yes
PEX14	ENSG00000142655.12	ENST00000356607.8	chr1	+	10474887	10630758	10433927	10630758	196832	yes
CASZ1	ENSG00000130940.14	ENST00000377022.7	chr1	-	10796648	10636604	10636604	10837608	201005	yes
C1orf127	ENSG00000175262.14	ENST00000418570.6	chr1	-	10964201	10946473	10946473	11005161	58689	yes
TARDBP	ENSG00000120948.17	ENST00000240185.7	chr1	+	11012400	11026420	10971440	11026420	54981	yes
AL109811.4	ENSG00000277726.4	ENST00000614757.4	chr1	+	11012662	11030528	10971702	11030528	58827	yes
MASP2	ENSG00000009724.16	ENST00000400898.3	chr1	-	11047233	11044798	11044798	11088193	43396	yes
SRM	ENSG00000116649.9	ENST00000376957.6	chr1	-	11060024	11054589	11054589	11100984	46396	yes
EXOSC10	ENSG00000171824.13	ENST00000376936.8	chr1	-	11099881	11066618	11066618	11140841	74224	yes
ANGPTL7	ENSG00000171819.4	ENST00000376819.3	chr1	+	11189341	11195981	11148381	11195981	47601	yes
MTOR	ENSG00000198793.12	ENST00000361445.8	chr1	-	11262507	11106535	11106535	11303467	196933	yes
UBIAD1	ENSG00000120942.13	ENST00000376810.5	chr1	+	11273206	11288434	11232246	11288434	56189	yes
AL031291.1	ENSG00000284646.1	ENST00000641979.1	chr1	-	11319093	11311734	11311734	11360053	48320	yes
DISP3	ENSG00000204624.7	ENST00000423056.2	chr1	+	11479166	11481960	11438206	11481960	43755	yes
LINC01647	ENSG00000235643.1	ENST00000453135.1	chr1	+	11609531	11613355	11568571	11613355	44785	yes
FBXO2	ENSG00000116661.10	ENST00000354287.4	chr1	-	11654682	11648367	11648367	11695642	47276	yes
FBXO44	ENSG00000132879.13	ENST00000376770.5	chr1	+	11654857	11663327	11613897	11663327	49431	yes
FBXO6	ENSG00000116663.10	ENST00000376753.8	chr1	+	11664124	11674354	11623164	11674354	51191	yes
MAD2L2	ENSG00000116670.14	ENST00000376692.8	chr1	-	11681214	11674481	11674481	11722174	47694	yes
DRAXIN	ENSG00000162490.6	ENST00000294485.5	chr1	+	11691729	11725857	11650769	11725857	75089	yes
AGTRAP	ENSG00000177674.15	ENST00000376629.8	chr1	+	11736147	11750771	11695187	11750771	55585	yes
C1orf167	ENSG00000215910.7	ENST00000444493.5	chr1	+	11778931	11789478	11737971	11789478	51508	yes
CLCN6	ENSG00000011021.22	ENST00000346436.10	chr1	+	11806211	11843144	11765251	11843144	77894	yes
MTHFR	ENSG00000177000.12	ENST00000376590.8	chr1	-	11806920	11786603	11786603	11847880	61278	yes
NPPA	ENSG00000175206.10	ENST00000376480.7	chr1	-	11847783	11845709	11845709	11888743	43035	yes
NPPB	ENSG00000120937.8	ENST00000376468.3	chr1	-	11858931	11857464	11857464	11899891	42428	yes
AL021155.2	ENSG00000285646.1	ENST00000649268.1	chr1	+	11908147	11913232	11867187	11913232	46046	yes
KIAA2013	ENSG00000116685.15	ENST00000376572.7	chr1	-	11926423	11919591	11919591	11967383	47793	yes
PLOD1	ENSG00000083444.16	ENST00000196061.4	chr1	+	11934753	11975537	11893793	11975537	81745	yes
MFN2	ENSG00000116688.16	ENST00000235329.9	chr1	+	11980312	12013508	11939352	12013508	74157	yes
MIIP	ENSG00000116691.10	ENST00000235332.5	chr1	+	12019466	12032045	11978506	12032045	53540	yes
TNFRSF8	ENSG00000120949.14	ENST00000263932.6	chr1	+	12063377	12144207	12022417	12144207	121791	yes
TNFRSF1B	ENSG00000028137.18	ENST00000376259.6	chr1	+	12167003	12209228	12126043	12209228	83186	yes
VPS13D	ENSG00000048707.15	ENST00000620676.6	chr1	+	12230030	12512047	12189070	12512047	322978	yes
AC243836.1	ENSG00000229484.1	ENST00000416696.1	chr1	+	12527724	12528420	12486764	12528420	41657	yes
DHRS3	ENSG00000162496.8	ENST00000616661.4	chr1	-	12617731	12567910	12567910	12658691	90782	yes
AC254633.1	ENSG00000272482.1	ENST00000606790.1	chr1	-	12619244	12618900	12618900	12660204	41305	yes
AADACL4	ENSG00000204518.2	ENST00000376221.1	chr1	+	12644547	12667086	12603587	12667086	63500	yes
AADACL3	ENSG00000188984.11	ENST00000620146.2	chr1	+	12716115	12728759	12675155	12728759	53605	yes
C1orf158	ENSG00000157330.9	ENST00000614859.4	chr1	+	12746215	12763699	12705255	12763699	58445	yes
PRAMEF12	ENSG00000116726.4	ENST00000357726.4	chr1	+	12774841	12777906	12733881	12777906	44026	yes
PRAMEF1	ENSG00000116721.9	ENST00000332296.7	chr1	+	12791397	12796628	12750437	12796628	46192	yes
LINC01784	ENSG00000228338.1	ENST00000438401.1	chr1	-	12823159	12822686	12822686	12864119	41434	yes
PRAMEF11	ENSG00000239810.3	ENST00000619922.1	chr1	-	12831410	12824605	12824605	12872370	47766	yes
HNRNPCL1	ENSG00000179172.9	ENST00000317869.6	chr1	-	12848725	12847408	12847408	12889685	42278	yes
PRAMEF2	ENSG00000120952.4	ENST00000240189.2	chr1	+	12857086	12861909	12816126	12861909	45784	yes
PRAMEF4	ENSG00000243073.3	ENST00000235349.5	chr1	-	12886201	12879224	12879224	12927161	47938	yes
PRAMEF10	ENSG00000187545.5	ENST00000235347.4	chr1	-	12898270	12892896	12892896	12939230	46335	yes
PRAMEF7	ENSG00000204510.5	ENST00000330881.6	chr1	+	12917625	12920480	12876665	12920480	43816	yes
PRAMEF33	ENSG00000237700.2	ENST00000437300.2	chr1	+	13303539	13308907	13262579	13308907	46329	yes
PRAMEF15	ENSG00000204501.7	ENST00000376152.2	chr1	+	13315581	13322598	13274621	13322598	47978	yes
AC243961.1	ENSG00000228229.2	ENST00000432559.2	chr1	+	13324039	13324518	13283079	13324518	41440	yes
PRAMEF14	ENSG00000204481.7	ENST00000602491.1	chr1	-	13343840	13342034	13342034	13384800	42767	yes
PRAMEF19	ENSG00000204480.8	ENST00000376101.3	chr1	-	13371900	13369067	13369067	13412860	43794	yes
PRAMEF17	ENSG00000204479.4	ENST00000376098.4	chr1	+	13389632	13392629	13348672	13392629	43958	yes
PRAMEF20	ENSG00000204478.9	ENST00000316412.9	chr1	+	13410450	13421328	13369490	13421328	51839	yes
LRRC38	ENSG00000162494.5	ENST00000376085.3	chr1	-	13514048	13474977	13474977	13555008	80032	yes
PDPN	ENSG00000162493.16	ENST00000294489.10	chr1	+	13583465	13617957	13542505	13617957	75453	yes
AL359771.1	ENSG00000237445.2	ENST00000441809.2	chr1	-	13659910	13657311	13657311	13700870	43560	yes
PRDM2	ENSG00000116731.22	ENST00000235372.11	chr1	+	13704855	13825079	13663895	13825079	161185	yes
AL357873.1	ENSG00000231606.1	ENST00000449215.1	chr1	-	14223118	14221891	14221891	14264078	42188	yes
KAZN-AS1	ENSG00000234593.2	ENST00000447908.2	chr1	-	14391575	14348955	14348955	14432535	83581	yes
KAZN	ENSG00000189337.16	ENST00000503743.5	chr1	+	14598717	15065797	14557757	15065797	508041	yes
TMEM51	ENSG00000171729.13	ENST00000400796.7	chr1	+	15153733	15220408	15112773	15220408	107636	yes
C1orf195	ENSG00000204464.7	ENST00000424792.5	chr1	-	15171317	15164344	15164344	15212277	47934	yes
